split,channel,channel_name,sample_count,min,max,range,mean,std,p0.1,p1,q1,median,q3,p99,p99.9
test,5,CH05,182648,-112.000000,118.000000,230.000000,-0.843990,7.904582,-49.000000,-25.000000,-3.000000,-1.000000,1.000000,25.000000,54.000000
test,6,CH06,182648,-128.000000,127.000000,255.000000,-0.860650,13.652631,-90.000000,-43.000000,-4.000000,-1.000000,2.000000,45.000000,91.000000
test,7,CH07,182648,-128.000000,127.000000,255.000000,-0.852563,12.502856,-76.000000,-38.000000,-5.000000,-1.000000,3.000000,41.000000,77.000000
test,8,CH08,182648,-128.000000,127.000000,255.000000,-0.863355,11.866291,-66.000000,-35.000000,-6.000000,-1.000000,4.000000,36.000000,68.000000
test,9,CH09,182648,-128.000000,127.000000,255.000000,-1.302763,24.295457,-118.000000,-76.000000,-11.000000,-1.000000,8.000000,75.000000,113.000000
test,10,CH10,182648,-128.000000,127.000000,255.000000,-1.158211,19.044810,-111.000000,-61.000000,-8.000000,-1.000000,5.000000,61.000000,109.353000
test,11,CH11,182648,-113.000000,111.000000,224.000000,-1.040499,6.333843,-38.000000,-19.000000,-4.000000,-1.000000,1.000000,18.000000,38.000000
test,12,CH12,182648,-99.000000,98.000000,197.000000,-0.971891,5.834106,-37.000000,-19.000000,-3.000000,-1.000000,1.000000,16.000000,31.000000
test,13,CH13,182648,-128.000000,127.000000,255.000000,-0.967429,13.350063,-94.000000,-46.000000,-4.000000,-1.000000,2.000000,42.000000,91.000000
test,14,CH14,182648,-128.000000,127.000000,255.000000,-1.013250,14.113525,-97.000000,-46.000000,-5.000000,-1.000000,2.000000,46.000000,96.353000
test,15,CH15,182648,-128.000000,127.000000,255.000000,-1.005601,9.780886,-58.000000,-30.000000,-4.000000,-1.000000,2.000000,29.000000,62.000000
test,16,CH16,182648,-128.000000,127.000000,255.000000,-1.036551,16.169985,-95.000000,-51.000000,-7.000000,-1.000000,5.000000,49.000000,92.000000
